type,pos,釋義1
遠景,Na,
遠東,Nc,
遠見,Na,
遠親,Na,【名】血統關係較為疏遠的親戚。
遠足,VA,【動】步行到近郊的遊憩活動。例：明仔載老師欲𤆬阮去遠足。Bîn-á-tsài lāu-su beh tshuā guán khì uán-tsiok. (明天老師要帶我們去遠足。)　
遠近,Na,
遠離,VCL,
遣,VC,
適,VJ,
適合,VJ,【動】配合得恰到好處。例：這領衫上適合你來穿。Tsit niá sann siōng sik-ha̍p lí lâi tshīng. (這件衣服你來穿最適合。)　
適應,VJ,
適用,VJ,
適當,VH,【形】切合、妥當。例：伊來做老師真適當。I lâi tsò lāu-su tsin sik-tòng. (他來當老師很適當。)　
適量,VH,
遭,VJ,
遭受,VJ,
遭遇,VJ,1.【動】遭逢、遇上。例：遭遇著不幸。Tso-gū tio̍h put-hīng. (遭遇到不幸的事。)　
遮,VC,【動】掩蓋、掩蔽。例：遮雨　jia-hōo、遮光　jia kng。
遮雨,VA,【動】擋雨。例：落雨矣，緊攑雨傘出來遮雨。Lo̍h-hōo--ah, kín gia̍h hōo-suànn tshut-lâi jia-hōo. (下雨了，趕緊拿雨傘出來遮雨。)　
遮風,VA,1.【動】阻擋風的吹襲。
遲,VH,附錄－百家姓
遲到,VH,
遴,VC,
遴選,VC,
遵,VJ,
遵命,VH,【動】遵從、從命。遵循命令。通常用在戲劇中，下屬對於上司發號命令的應答。
遵守,VJ,【動】謹守、服從。
遵循,VJ,
遵照,VC,
遷,VC,1.【動】搬移。例：派出所欲遷去佗位？Phài-tshut-sóo beh tshian khì tó-uī? (派出所要搬到哪裡？)　
遷入,VCL,
遷居,VCL,【動】搬移住所。
遷徙,VA,【動】搬移。
選,VC,【動】挑取、選擇。例：你選佗一个？Lí suán tó tsi̍t ê?(你選哪一個？)；選囝婿　suán kiánn-sài(挑女婿)。
選出,VC,
選務,Na,
選區,Nc,
選單,Na,
選定,VC,
選情,Na,
選戰,Na,
選手,Na,【名】參加各種比賽的代表者。
選擇,VC,【動】挑選、擇取。
選民,Na,
選用,VC,
選票,Na,【名】選舉時用來填寫或圈選被選舉人姓名的票張。
選罷法,Na,
選舉,VC,【動】用選票或舉手等表決方式，來選出代表或負責人。
選購,VC,
選項,Na,
遺,VK,
遺傳,VJ,
遺囑,Na,見【遺言】uî-giân 條。
遺憾,VK,【名】缺憾、惋惜。
遺書,Na,【名】死者所遺留下來的文字。
遺產,Na,【名】人死後所遺留下來的一切財產。
遺言,Na,【名】遺書、遺囑。人在臨終前所遺留的言辭。
遺蹟,Na,
遺體,Na,
遼,Nd,
避,VC,
避免,VE,【動】防止。設法不讓某種情形發生。
避難,VA,
邀,VF,
邀約,VC,
邀請,VC,【動】約請、招請。例：邀請伊來參加。Iau-tshiánn i lâi tsham-ka. (邀請他來參加。)　
邀集,VC,
邁,VC,
還,VD,【動】表示劃清界線，各自歸屬。例：白米還白米，糙米還糙米，愛分開囥，毋通相濫。Pe̍h-bí huān pe̍h-bí, tshò-bí huān tshò-bí, ài hun-khui khǹg, m̄-thang sio lām. (白米歸白米，糙米歸糙米，要分開放，不要混在一起。)　
還俗,VA,【動】僧尼或出家的道士恢復為普通人的身分。
還債,VA,
還錢,VA,【動】償還所欠下的金錢。例：到期愛還錢。Kàu-kî ài hîng tsînn. (期限到了要還錢。)　
還魂,VA,
邊,P,1.【名】旁邊。例：你閃較邊仔咧！Lí siám khah pinn--á--leh! (你閃邊點！)　[近]邊仔
邊界,Nc,
邊緣,Nc,
邏輯,Na,
邑,Na,
那,T,1.【連】一邊……一邊……。以「那……那……」(ná……ná……)形式出現。例：那行那看　ná kiânn ná khuànn(一邊走一邊看)。
那卡西,Nb,
邦,Na,
邦交,Na,
邪,VH,1.【形】不正當、邪惡的。例：邪氣　siâ-khì、邪不鬥正　siâ put tàu tsìng(邪不勝正)。
邪惡,VH,
邱,Nb,附錄－百家姓
邵,Nb,附錄－百家姓
邸,Nc,
郁,Nb,
郊,VA,
郊區,Nc,
郊外,Nc,【名】城市街區的外圍邊緣地帶。
郊遊,VA,
郎,Nb,
郎君,Na,【名】對男子的尊稱。例：如意郎君　jû-ì lông-kun。
郝,Nb,附錄－百家姓
郡,Nc,
部,Nf,【量】計算套書的單位。例：一部冊　tsi̍t phō tsheh(一套書)。
部下,Na,【名】部屬、屬下。軍隊或團體裡被統率的人。
部份,Neqa,【名】全體中的局部；整體裡的一些個體。
部位,Na,【名】整體中特定的個別位置。
部屬,Na,
部會,Na,
部編本,Na,
部落,Nc,【名】人民聚居所形成的單位。通常指具有特定語言與文化的小規模聚落。
部長,Na,【名】中央政府各部的最高長官。例：教育部長　Kàu-io̍k Pōo-tiúnn。
部門,Na,
部隊,Na,
郭,Nb,附錄－百家姓
郵,Na,
郵件,Na,【名】郵局人員遞送的信件、包裹等物。
郵局,Nc,【名】辦理郵政事務的機關。
郵差,Na,【名】由郵局任用，負責收送信件的人。
郵政,Na,【名】有關傳遞信函、包裹與辦理儲金匯兌、壽險業務等的郵政事務。
郵票,Na,1.【名】黏貼在信件上面的印花紙片，作為已繳納郵費的憑證。
郵筒,Na,【名】郵局設立在路旁，供人投遞信件的箱子。
郵資,Na,
郵購,VC,
都,Nc,
都城隍廟,Nc,附錄－地名－廟宇名
都市,Nc,【名】人口密度較高、工商交通發達的地區。
都會,Nc,
鄉,Nc,
鄉土,VH,【名】家鄉、故鄉。原意為家鄉的土地，借指家鄉。例：鄉土文學　hiong-thóo bûn-ha̍k(帶有地方色彩的文學作品)。
鄉愁,Na,
鄉村,Nc,【名】農村、鄉下。鄉下的村落。
鄉民,Na,
鄉親,Na,【名】稱呼同鄉里的人。例：多謝各位鄉親對我的支持佮愛護。To-siā kok-uī hiong-tshin tuì guá ê tsi-tshî kah ài-hōo. (多謝各位鄉親對我的支持和愛護。)　
鄉里,Nc,【名】家鄉、故鄉。例：我欲轉去阮鄉里矣。Guá beh tńg-khì guán hiunn-lí--ah. (我要回家鄉了。)　
鄉鎮,Nc,1.【名】地方政府的行政區域為「鄉」和「鎮」的統稱。
鄉鎮市,Nc,
鄉鎮長,Na,
鄉長,Na,【名】地方政府之行政區域為「鄉」的行政首長職稱。
鄒,Nb,附錄－百家姓
鄙,b,【形】低賤、卑下。亦作為表示自謙的用語。例：卑鄙　pi-phí、鄙人　phí-jîn。
鄧,Nc,附錄－百家姓
鄭,Nb,附錄－百家姓
鄭重,VH,
鄰,VJ,1.【形】在附近的、旁邊的。例：遠親不如近鄰。Uán-tshin put jû kīn lîn. 　
鄰近,VJ,
鄰長,Na,
酉,Na,【名】地支的第十位。例：酉時　iú-sî(下午五點到七點)、點燈酉　tiám ting iú(下午五時到七點的點燈時刻)。
酌,VC,
配,VL,1.【動】以食物佐膳。例：食飯配菜。Tsia̍h pn̄g phuè tshài. (吃飯配菜。)　
配件,Na,
配備,VC,
配合,VC,【動】搭配合作。
配套,VA,
配對,VA,
配料,Na,【名】佐料、配料。烹飪時或搭配菜餚的佐料。
配方,Na,
配樂,VB,
配發,VJ,
配種,VA,
配給,VD,【名】按照需要、規定量供給貨物。
配置,VC,
配股,VB,
配色,VA,
配藥,VA,
配角,Na,【名】戲劇中陪襯的角色、次要或指做輔助工作的人。
配送,VD,
配音,VA,
配額,Na,
酒,Na,【名】用米、麥之類的穀物或水果等原料，經過發酵釀製而成，含有酒精的刺激性飲料。
酒仙,Na,【名】指喜歡喝酒的人。
酒吧,Nc,
酒女,Na,
酒家,Nc,
酒家女,Na,
酒店,Nc,
酒會,Na,
酒杯,Na,【名】喝酒用的杯子。
酒樓,Nc,【名】供人飲酒或舉辦宴會的地方。
酒瓶,Na,【名】裝酒用的瓶子。
酒精,Na,
酒糟,Na,【名】製酒的過程中所產生的泥狀沉澱物。
酒菜,Na,
酒醉,VH,【動】喝酒過度，精神體力不濟。
酥,VH,1.【形】食物鬆脆可口。例：這塊餅真酥真好食。Tsit tè piánn tsin soo tsin hó tsia̍h. (這塊餅非常酥脆好吃。)　
酬,VC,
酵母,Na,【名】一種微生物，是子囊菌類的一種單細胞菌，可使糖分解為酒精和二氧化碳。用粳米浸水，加麴少許，讓它發酵，再加水讓它發熱。可用來釀製紅糟、豆腐乳等等。
酵素,Na,
酷,VH,
酷刑,Na,【形】殘忍、心狠手辣。例：伊彼个人真酷刑。I hit ê lâng tsin khok-hîng. (他那個人真殘忍。)　
酸,VH,
醃,VC,【動】用鹽、浸漬食物。例：醃瓜　am-kue。
醇,VH,
醉,VHC,1.【動】飲酒過量而導致神志不清。例：不醉不歸　put tsuì put kui、燒酒醉　sio-tsiú-tsuì(酒醉)。
醋,Na,【名】以米、麥、高粱等釀成，用來調味的酸味液體。例：啉醋　lim tshòo(喝醋)、摻一寡仔醋　tsham tsi̍t-kuá-á tshòo(加一點醋)。
醒,VH,
醒悟,VK,【動】覺醒明白。例：無論我按怎苦勸，伊就是袂醒悟。Bô-lūn guá án-tsuánn khóo-khǹg, i tō sī bē síng-ngōo. (不管我怎麼勸，他始終不會覺悟。)　
醒目,VH,
醜,VH,
醫,VC,1.【動】治療、救治。例：無藥醫　bô io̍h i(無藥可救)、病醫了有較好。　Pēnn i liáu ū khah hó. (病醫後有比較好。)　
醫學,Na,【名】醫治病人的學問。例：醫學進步，人的性命較有保障。I-ha̍k tsìn-pōo, lâng ê sènn-miā khah ū pó-tsiong. (醫學進步，人的生命比較有保障。)　
醫師,Na,
醫治,VC,【動】診斷治療疾病。例：小病無醫治，會變做大病。Sió pēnn bô i-tī, ē piàn-tsò tuā pēnn. (小病沒治療，會變成大病。)　
醫生,Na,【名】醫師、大夫。經政府相關單位核可，發給證照，可以替人治病的人。
醫生館,Nc,【名】醫院、診所。
醫界,Nc,
醫療,VC,
醫藥,Na,
醫術,Na,【名】治病的技術。例：醫術高明　i-su̍t ko-bîng。
醫護,A,
醬,Na,1.【名】以各種食材做成的，如泥狀般的調味品。例：豆醬　tāu-tsiùnn(用豆、麥、米等蒸熟，經過曝曬、發酵，加研製成的調味品或其醃漬品。)、醬菜　tsiùnn-tshài、醬瓜仔　tsiùnn-kue-á。
醬料,Na,【名】醃製食物的總稱。例：醬料對人體健康加減有妨害。Tsiùnn-liāu tuì jîn-thé kiān-khong ke-kiám ū hông-hāi. (醬料對人體健康多少有害處。)　
醬瓜,Na,
醬菜,Na,【名】泛指醃漬而成的各種菜蔬。例：醬菜毋好食傷濟。Tsiùnn-tshài m̄-hó tsia̍h siunn tsē. (醬菜不宜吃太多。)　
醮,VC,
釀,VC,
采,Na,
釋,VC,附錄－百家姓
釋出,VC,
釋憲,VA,
釋放,VC,
釋迦,Nb,1.【名】釋迦牟尼。佛教的始祖，簡稱「釋迦」。
釋迦牟尼佛,Nb,
里,Nf,1.【名】行政區域名。指居所、居處或聚落。例：鄉里　hiunn-lí、里長　lí-tiúnn。
里民,Na,
里長,Na,
重,VJ,1.【形】重要。例：看重　khuànn-tiōng。
重來,VH,
重傷,VH,【名】很嚴重的傷勢。例：伊去予車挵一下著重傷。I khì hōo tshia lòng tsi̍t-ē tio̍h tāng-siong. (他被車撞到，受了重傷。)　
重利,Na,【名】很高的利息。例：伊是專門咧放重利的。I sī tsuan-bûn teh pàng-tāng-lāi--ê. (他是專門在放高利貸的。)　
重劃區,Nc,
重型,Na,
重大,VH,【形】重要。例：重大事件　tiōng-tāi sū-kiānn。
重建,VC,
重心,Na,
重播,VHC,
重擔,Na,【名】沉重的擔子，比喻繁重的責任。例：兜生活的重擔，攏是伊咧擔。In tau sing-ua̍h ê tāng-tànn, lóng sī i teh tann. (他家生活的重擔，都是他在承擔。)　
重整,VC,
重新,D,【動】從頭開始。例：重新做人　tiông-sin tsò-lâng。
重現,VA,
重生,VH,
重疊,VH,
重病,Na,【名】嚴重而危險的病。
重複,VC,
重要,VH,【形】具有重大的意義、作用和影響。
重視,VJ,【動】注重。特別注意。例：校長真重視這擺的音樂比賽。Hāu-tiúnn tsin tiōng-sī tsit pái ê im-ga̍k pí-sài. (校長很重視這次的音樂比賽。)　
重重疊疊,VH,【形】層層累積相疊。例：你的罪惡重重疊疊，洗袂清啦！Lí ê tsuē-ok tîng-tîng-tha̍h-tha̍h, sé bē tshing--lah! (你作惡太多，洗不清了！)　
重量,VH,
重陽,Nd,
重陽節,Nd,【名】我國傳統民俗節日之一。農曆九月九日，故又稱九九重陽。起源於為了除去瘟疫，在這天要配戴茱萸葉子、飲菊花酒、舉家登高。臺灣則盛行於此日放風箏，並定為敬老節。
重點,Na,
野,VH,1.【名】郊外。例：野外　iá-guā。[近]郊
野台戲,Na,
野味,Na,1.【名】山野中所捕獲、採集的食物。
野外,Nc,
野心,Na,【名】對名利、權勢的貪圖之心。例：伊的野心愈來愈大！I ê iá-sim jú lâi jú tuā! (他的野心愈來愈大！)　
野性,Na,【名】性情不溫馴，不受束縛。例：伊野性未改。I iá-sìng bī kái. (他不溫馴的個性還沒改過來。)　
野牛,Na,
野狼,Na,
野獸,VH,【名】生長在山野間，沒有經過人工飼養、繁殖的獸類。
野球,Na,【名】棒球。一種球類運動，由兩隊互相競賽，得分多者為勝，規則繁複，風靡全世界，包括臺灣在內的許多國家都有職業棒球隊。源自日語。
野生,A,【形】未經人飼養或培植而自然長成的生物。例：野生動物　iá-sing tōng-bu̍t。
野花,Na,
野蠻,VH,【形】粗暴不講理的。
野餐,VA,
野馬,Na,【名】野生的馬。也用來指稱不受束縛的人。
量,VHC,1.【名】大的秤子。例：提量仔來量看豬仔有偌重。The̍h niū-á lâi niū khuànn ti-á ū guā tāng. (拿大秤來秤秤看豬有多重。)　[近]量仔
量產,VC,
釐,VC,
金,VH,附錄－百家姓
金主,Na,
金光黨,Na,【名】指利用假的黃金引誘被害人上當的詐騙集團，後又引申為各式詐騙集團的代名詞。例：伊去拄著金光黨，一寡錢攏予人騙了了去。I khì tú-tio̍h kim-kong-tóng, tsi̍t-kuá tsînn lóng hōo lâng phiàn liáu-liáu--khì. (他遇到了詐騙集團，一些錢都被騙光了。)　
金剛石,Na,鑽石。見【璇石】suān-tsio̍h 條。
金包里,Nb,新北市金山(附錄－地名－舊地名)
金城鎮,Nc,金門縣行政區(附錄－地名－臺灣縣市行政區名)
金婚,Na,【名】西洋風俗稱結婚滿五十年為「金婚」。
金字塔,Na,
金屬,Na,
金山,Nc,1.【名】出產黃金的山。
金崙,Nc,臺東縣金鋒(附錄－地名－舊地名)
金幣,Na,
金庫,Na,【名】保存現金或貴重物品的保險櫃。
金星,Nc,
金曲,Na,
金條,Na,【名】條狀的黃金，一般每條重五兩或十兩。
金棗,Na,【名】金橘、金柑。瓜果類。因果實色金黃、形圓而長似棗而稱之。皮甜肉酸，常加工做蜜餞、果醬或茶飲，亦可連皮直接食用。宜蘭為主要產地，常加工做成各種食品，如「金棗糕」。
金榜,Na,【名】原指中國以前的科舉時代，讀書人參加金殿面試之後，揭曉成績用的榜單。現在通常用來指學生或考生參加考試後，公布錄取的榜單。例：洞房花燭夜，金榜題名時。Tōng-pông hua-tsiok iā, kim-pńg tê-miâ sî. 　
金沙鎮,Nc,金門縣行政區(附錄－地名－臺灣縣市行政區名)
金牌,Na,
金瓜,Na,【名】南瓜。瓜果類。果實為扁圓或長圓形， 有黃、綠、或紅色等，可以食用。種子另有驅蟲的效用。
金箔,Na,【名】以黃金打成的薄片或塗上金粉的紙片。多用以貼飾佛像或各種器物。
金粉,Na,【名】一種用金屬粉末製作而成的顏料，大多用來塗飾貴重器物或佛像。
金紙,Na,【名】燒給神明的紙錢稱「金紙」，燒給祖先或鬼魂的紙錢稱「銀紙」(gîn-tsuá)。金紙比銀紙大張，而金紙中間黏有方型小金箔，銀紙則黏錫箔。
金絲猴,Na,1.【名】金絲猴。動物名。哺乳綱靈長目。身體瘦長，約七十公分。毛灰黃色，鼻孔向上，尾巴很長。背部有富光澤長毛，可達一尺餘長。行動敏捷，生活於高山的大樹上，為中國特有的珍貴動物。
金線蓮,Na,【名】草本植物。為裂脣屬多年生草本地生蘭，葉子的背面呈酒紅色，葉面則為墨綠色，表面有金黃色的網脈條紋相連，所以取名為「金線蓮」。經農委會研究後發現，金線蓮具有抗癌、抗氧化、抗菌、預防動脈硬化等藥效。
金色,Na,【名】黃金的顏色。
金融,Na,
金身,Na,【名】使用金箔做為裝飾而打造成的佛像。
金金,VH,【形】睜大眼睛。例：目睭金金，人傷重。Ba̍k-tsiu kim-kim, lâng siong-tiōng. (眼睛睜得大大的，人病得很嚴重。)；目睭擘金金　ba̍k-tsiu peh-kim-kim(眼睛睜大)。
金針,Na,1.【名】草本植物。葉子細長，花形和百合相似，有橙紅或黃紅色。一般在花尚未全開時就採下來，經過日晒、蒸熟、烘乾後，便是食用的金針。
金針菇,Na,【名】蕈菇類。生長在腐朽的木材上，色金黃，體細長，味道鮮美，可食用。亦可由人工培養而成。
金錢,Na,
金門縣,Nc,離島(附錄－地名－臺灣縣市行政區名)
金額,Na,
金魚,Na,【名】魚類。由鯽魚經過不斷的人工選種、配種、淘汰而成。特徵為凸眼、體形略呈圓球形，顏色鮮豔，鱗片有金光，鰭大，尾部分三分或四分，多作為觀賞用。
金黃,VH,
金鼎,Nb,【名】用來焚化冥紙的鐵製容器。
金龜,Na,【名】金龜子。昆蟲名。背有甲殼，具光澤，前端有觸角。種類繁多，其形狀、大小、顏色及生活習性各不相同。
釘,VC,
釘仔,Na,【名】鋼鐵或竹木做成一頭尖銳的長型物，用來固定東西。
針,Nf,1.【名】縫紉工具。例：針線　tsiam-suànn。
針對,VJ,
針灸,VB,【動】用特製的金屬針，或燃燒的「艾絨」(艾葉陰乾搗碎、除去青渣製成)，刺激經脈穴道以治療疾病的療法。用針稱為「針」，燒艾稱為「灸」，針法和灸法合稱為「針灸」。
針頭,Na,
針黹,Na,【名】女紅、針指。女子所做的針線、紡織、刺繡、縫紉等工作。例：查某囡仔愛加減學寡針黹。Tsa-bóo gín-á ài ke-kiám o̍h kuá tsiam-tsí. (女孩子家要多少學一點女紅。)　
釣,VC,
釣友,Na,
釣竿,Na,
釣鉤,Na,【名】釣魚用的魚鉤。
釣餌,Na,1.【名】釣魚時所用的魚餌。
釣魚,VA,
釣魚台,Nc,島嶼(附錄－地名－臺灣縣市行政區名)
釧,Na,【名】帶在手臂或手腕上的環狀飾品。例：金釧　kim tshuan(金手環)。
釵,Na,
鈍,VH,【形】笨拙緩慢。例：你遮爾鈍，欲按怎做生理？Lí tsiah-nī tūn, beh án-tsuánn tsò-sing-lí? (你這麼笨拙，要怎麼做生意？)　[反]扭掠、猛
鈔,Na,
鈕,Na,1.【名】鈕扣或是鈕扣狀的東西，可以將東西扣上防止分開或是可以拉動的把手。例：鈕仔　liú-á(鈕扣)、屜鈕　thuah liú(抽屜勾鎖、把手)。[近]鈕仔
鈞,Nf,
鈴,Na,【名】泛指各種可發出聲音以呼喚的器具。例：門鈴　mn̂g-lîng。
鈷,Na,【量】壺。計算茶壺數量的單位。例：一鈷茶　tsi̍t-kóo-tê(一壺茶)。
鈸,Na,
鉗,VC,
鉛,Na,【名】金屬的一種，青灰色、質軟而重，有延展性，易氧化。主要用於製造合金、蓄電池等。
鉛桶,Na,【名】用鍍上一層鋅的鐵皮所製成的桶子。
鉛球,Na,
鉛筆,Na,【名】一種書寫的工具。將石墨粉和黏土製成筆心，嵌在木桿或其他質料的筆管中，多半為細條狀。
鉤,VC,1.【動】鉤取。用鉤子掛住拉起來。例：鉤耳屎　kau hīnn-sái(挖耳屎)。
鉸,b,【動】用剪刀將物品裁割、切割或修割。例：頭鬃去鉸鉸咧。Thâu-tsang khì ka-ka--leh. (頭髮去剪一剪。)；鉸布　ka-pòo(剪布料)、鉸紙　ka-tsuá(剪紙)。
鉸刀,Na,【名】剪刀。
銀,VH,1.【名】金屬名稱，具有白色的金屬光澤。曾為貨幣材料的一種，現在多製作為用具、飾品。例：龍仔銀　lîng-á-gîn(銀元)、金銀　kim-gîn。
銀器,Na,
銀幕,Nc,
銀樓,Nc,
銀紙,Na,【名】冥紙。焚化給死者使用的紙錢。
銀色,Na,【名】銀白色。
銀行,Nc,【名】一種金融機構。以存款、放款、匯兌為主要業務，或兼事票券經理、紙幣兌換、代理國庫之出納等業務。
銅,Na,【名】金屬名稱，具有淡紅色的光澤，有延展性，是製作容器、塑像及電線等物品的良好材料。
銅人,Na,
銅像,Na,
銅牌,Na,
銅環,Na,
銅管,Na,
銅線,Na,【名】銅製成的線狀物，因為導電佳，所以可作為電線等用途。
銅錢,Na,【名】銅幣。古代銅質硬幣，多為圓形而中有方孔。
銅鑼,Nc,
銅鑼灣,Nc,苗栗縣銅鑼(附錄－地名－舊地名)
銅鑼鄉,Nc,苗栗縣行政區(附錄－地名－臺灣縣市行政區名)
銘,VC,
銬,VC,1.【動】用手銬扣住。例：共犯人銬起來。Kā huān-lâng khàu--khí-lâi. (把犯人銬起來。)　
銳,VH,
銷,VC,1.【動】將東西賣出去。例：有銷　ū-siau(賣得好)、無銷　bô-siau(賣得不好)、外銷　guā-siau。
銷假,VA,
銷售,VC,【動】販賣。
銷路,Na,【名】貨物售出的狀況。例：這項物件的銷路無好。Tsit hāng mi̍h-kiānn ê siau-lōo bô hó. (這件東西的銷路不好。)　
銷量,Na,
鋁,Na,
鋏,b,【動】使用夾子夾東西。例：用頭毛鋏仔共頭毛鋏予伊好。Iōng thâu-mn̂g-giap-á kā thâu-mn̂g giap hōo i hó. (用髮夾把頭髮夾好。)　
鋒,Na,
鋤,b,
鋤頭,Na,【名】用來除草鬆土的農具。
鋪,VC,1.【動】陳設、布置。例：鋪地毯　phoo tē-thán。
鋪路,vA,
鋸,VC,1.【動】用鋸子鋸物。例：鋸柴　kì tshâ(鋸木頭)。
鋸齒,Na,【名】鋸子上的尖齒。
鋼,Na,
鋼琴,Na,【名】樂器名。鍵盤樂器。有直立式和平臺式，手指按動鍵盤時會牽動鍵盤下的木槌敲打鋼絲絃，是樂團中的重要樂器。
鋼筆,Na,1.【名】用墨水書寫的一種筆，金屬筆尖，筆內有墨水管及貯墨水。
鋼筋,Na,
鋼絲,Na,
鋼釘,Na,
鋼鐵,Na,【名】鋼和鐵的合稱，也泛指鋼鐵類的金屬。
錄,VC,
錄取,VC,
錄影,VA,
錄用,VC,
錄製,VC,
錄音,VB,【動】用機器設備將聲音收錄下來。
錄音帶,Na,
錄音機,Na,【名】一種能將聲音的振動轉換成電磁信號，記錄於磁帶上，並將磁帶上的信號轉換成聲音播放的機器。
錐,VC,
錘,Na,【名】鉈。舊式秤子中的一部分，為一掛在秤桿上的小鐵塊，移動它直到兩邊平衡，便可測得重量。例：秤錘　tshìn-thuî(秤鉈)。
錠,Nf,
錢,Nf,附錄－百家姓
錢櫃,Na,【名】金櫃、金庫。
錢莊,Nc,【名】舊式的私人金融機關，經營金錢流通的事業。例：地下錢莊是咧放重利的。Tē-hā tsînn-tsng sī teh pàng-tāng-lāi--ê. (非法的錢莊是在放高利貸的。)　
錢財,Na,【名】金錢財富的通稱。
錢鼠,Na,1.【名】一種食蟲目小型哺乳類動物，外型像小老鼠，民間傳說會為人帶來財運。例：予錢鼠咬破布袋。Hōo tsînn-tshí kā-phuà pòo-tē. (讓老鼠咬破布袋。)　
錦,Nb,
錦標,Na,
錦蛇,Na,【名】爬蟲類動物。身體有美麗的花紋，體型巨大，常達三公尺以上，不具毒性，通常用身體將獵物勒死後吞食。多分布於熱帶森林中。
錨,Na,
錫,Na,
錫口,Nc,臺北市松山(附錄－地名－舊地名)
錯,VH,
錯亂,VH,【動】失常。沒有次序、失去常態。例：精神錯亂　tsing-sîn tshò-luān。
錯失,VJ,
錯覺,VK,
錯誤,VH,【名】指不正確的事物、行為等。例：有錯誤就緊改過。Ū tshò-gōo tō kín kái--kuè. (有錯誤就快點改過。)　
錶,Na,1.【名】用來計時的器具。例：手錶仔　tshiú-pió-á(手錶)、碼錶　bé-pió。[近]錶仔
鍊,b,1.【動】用高溫粹取出精純的物質，通「煉」。例：鍊金　liān kim。
鍋,Nf,【名】炊煮食物的用具。例：燖鍋　tīm-ue(燉鍋)。
鍍,VC,
鍛,VC,
鍛鍊,VC,
鍥,b,【名】用來割草的農具，類似鐮刀。例：草鍥　tsháu-keh(割草的農刀)。
鍵,Na,
鍾,VI,附錄－百家姓
鎖,VC,1.【名】用來將門窗、箱櫃等閉合，或將東西拴住，必須用鑰匙或密碼才能打開的小工具。例：門鎖　mn̂g-só、開鎖　khui só。
鎖匙,Na,【名】鑰匙。例：一支鎖匙　tsi̍t ki só-sî(一把鑰匙)。
鎖定,VC,
鎖門,VA,【動】將門鎖上。
鎖頭,Na,【名】鎖。用來鎖住門或箱子開合處之扣環的金屬器具，需用鑰匙、卡片或密碼打開。
鎮,VC,1.【名】行政單位，大約等同於鄉。例：鄉鎮　hiong-tìn。
鎮壓,VC,【動】以武力禁止暴亂。例：警察鎮壓暴亂。Kíng-tshat tìn-ap pō-luān. 　
鎮民,Na,
鎮瀾宮,Nc,附錄－地名－廟宇名
鎮長,Na,
鎮靜,VH,
鎮靜劑,Na,【名】一種可以使情緒平靜而不影響意識的藥物。常用來治療焦慮、緊張或精神疾病。只有暫時性效果，長期服用則會有不良的副作用。
鏘,VC,
鏡,Nc,1.【名】一邊塗有水銀會照出物影的玻璃。例：照鏡　tsiò-kiànn(照鏡子)。
鏡框,Na,【名】鏡子的外框。例：鏡框有雕刻花樣，看起來真媠款。Kiànn-khing ū tiau-khik hue-iūnn, khuànn--khí-lâi tsin suí-khuán. (鏡框有雕刻花樣，看起來很好看。)　
鏡片,Na,
鏡頭,Na,1.【名】照相機、攝影機或放映機最前端，由透鏡組成的光學裝置。
鏢,Na,【名】古代的一種金屬暗器，多呈三角形，可擲出傷人。例：咱來比賽射標，看啥人較準。Lán lâi pí-sài siā-pio, khuànn siánn-lâng khah tsún. (我們來比賽射飛鏢，看誰射得比較準。)　
鏽,VH,
鐐,b,
鐘,Na,附錄－百家姓
鐳,Na,
鐵,VC,附錄－百家姓
鐵人,Na,1.【名】比喻人身體非常強健，像鐵打的一樣。
鐵工,Na,【名】鐵匠。製造或整修鐵器的工匠。
鐵撬,Na,【名】鐵撬。例：石頭傷大粒，著用鐵撬才撬會起來。Tsio̍h-thâu siunn tuā lia̍p, tio̍h īng thih-kiāu tsiah kiāu ē khí--lâi. (石頭太大了，要用鐵撬才撬得開。)　
鐵枝,Na,1.【名】指鐵條，或指鋼筋。
鐵桶,Na,【名】鐵製的桶子、水桶。
鐵槌,Na,【名】榔頭。鐵製的槌子。
鐵櫃,Na,【名】用鐵做成的櫃子。
鐵甲,Na,【名】盔甲。鐵片所製成的戰服。
鐵質,Na,
鐵路,Na,
鐵道,Na,
鐵釘,Na,【名】鐵鑄成的釘子。
鐵門,Na,
鐵馬,Na,腳踏車。見【跤踏車】kha-ta̍h-tshia 條。
鐵齒,VH,【形】倔強嘴硬不信邪。例：你毋通遮爾鐵齒！聽老大人的話就無毋著。Lí m̄-thang tsiah-nī thih-khí! Thiann lāu-tuā-lâng ê uē tō bô-m̄-tio̍h. (你不要這麼倔強！聽長輩的話就沒錯了。)　
鑄,VC,【動】將金屬鎔化，倒入模型裡冷卻凝固，做成各種器物。例：鑄造　tsù-tsō、鑄錢　tsù tsînn。
鑑,VC,
鑑定,VC,【動】判斷事物的真偽、優劣。例：伊欲共這幅圖提去予人鑑定。I beh kā tsit pak tôo the̍h-khì hōo lâng kàm-tīng. (他要將這幅圖拿去讓人鑑定。)　
鑑賞,VC,
鑠,b,
鑫,b,
鑰,Na,
鑼,Na,【名】銅鑼。平圓形狀像銅盤的打擊樂器，旁邊有穿繩掛著槌子，可用來打擊。例：拍鑼　phah lô(敲鑼)。
鑼鼓,Na,【名】銅鑼和大鼓。泛指各種打擊樂器。例：動鑼鼓　tāng lô-kóo(敲鑼打鼓)。
鑽,VCL,
