2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
11627	器	器官	第5級	khì					1.【名】用具。例：武器　bú-khì、器具　khì-kū。	2.【名】動植物體內分掌各種生理機能的部分。例：器官　khì-kuan。[近]器官																								
11631	器具	器具	第5級	khì-kū			家私		【名】用具。																									
11632	器官	器官	第5級	khì-kuan					【名】生物體中分任各種生理機能的部分。																									
11633	器重	器重	第7級	khì-tiōng			重視		【動】重視才能。例：頭家真器重伊。Thâu-ke tsin khì-tiōng--i. (老闆很重視他的才能。)　																									
11638	噯	哎	第5級	【替】aih					【嘆】表示傷感、惋惜的語氣。例：噯！到月底又閣無錢矣！Aih! Kàu gue̍h té iū-koh bô tsînn--ah! (哎！到月底又沒錢了！)　																									
11640	壅	施肥	第7級	ìng					【動】指撒或施放肥料。例：壅肥　ìng-puî(施肥)、壅田　ìng-tshân(給田施肥)。																									
11642	學	學	第1級	【文】ha̍k		【白】o̍h			1.【名】學習的地方。例：中學　tiong-ha̍k、大學　tāi-ha̍k。	2.【名】指學科。例：經濟學　king-tsè ha̍k、社會學　siā-huē ha̍k。																								
11643	學	學習	第2級	【白】o̍h		【文】ha̍k			1.【動】學習。例：學煮食　o̍h tsú-tsia̍h(學作菜)、學刺膨紗　o̍h tshiah phòng-se(學打毛線)。	2.【動】模仿。例：你莫閣學伊講話矣。Lí mài koh o̍h i kóng-uē--ah. (你別再學他說話了。)　	3.【名】學習的地方。例：學仔　o̍h-á(學校)、中學　tiong-o̍h、大學　tuā-o̍h。													學	o̍h	o̍h	o̍h	o̍h	o̍rh	o̍rh	o̍h	o̍h	o̍h	o̍h
11646	學士	學士	第5級	ha̍k-sū					【名】大學畢業所得的學位。																									
11649	學仔	學堂	第6級	o̍h-á					【名】私塾。早期的學堂。																									
11651	壅田	施肥	第7級	ìng tshân	壅塍		沃肥、落肥、壅肥		【動】施肥。施灑肥料在田裡。例：阿公透早就去壅田矣。A-kong thàu-tsá tō khì ìng tshân--ah. (爺爺一大早就去田裡施肥了。)　																									
11652	學生	學生	第1級	ha̍k-sing					1.【名】在各級學校受教育的人。例：中學生　tiong-ha̍k-sing。	2.【名】向老師或長輩學習的人謙虛自稱。														學生	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing	學生　ha̍k-sing
11653	學位	學位	第4*級	ha̍k-uī					【名】通常指大專以上學生，在學分修習完畢後，具有某種程度的專業知識，經有關的學術機構認可而授予的學術級位。現分「專士」(tsuan-sū)、「學士」(ha̍k-sū)、「碩士」(si̍k sū)、「博士」(phok-sū)四種。																									
11655	壅肥	施肥	第7級	ìng puî			沃肥、落肥、壅田		【動】施肥。替植物灑放肥料。例：遮的菜愛壅肥才會媠。Tsia-ê tshài ài ìng puî tsiah ē suí. (這些菜需要施肥才會漂亮。)　																									
11656	學校	學堂	第6級	ha̍k-hāu			學堂		【名】專門提供教育的場所。															學校	公學校　kong-ha̍k-hǎu	公學校　kong-ha̍k-hāu	公學校　kong-ha̍k-hāu	公學校　kong-ha̍k-hāu	公學校　kong-ha̍k-hāu	公學校　kong-ha̍k-hāu	學校　ha̍k-hāu	學校　ha̍k-hāu	學校　ha̍k-hāu	學校　ha̍k-hāu
11657	奮鬥	奮鬥	第6級	hùn-tàu					【動】為了達到一定的目的而努力不懈。例：若是肯奮鬥，一定會出頭。Nā-sī khíng hùn-tàu, it-tīng ē tshut-thâu. (如果肯奮鬥，一定會出頭。)　																									
11658	學問	學問	第4*級	ha̍k-būn			字目		【名】學習所得的系統性知識。例：伊真有學問。I tsin ū ha̍k-būn. (他真有學問。)　																									
11660	學堂	學堂	第6級	o̍h-tn̂g			學校		【名】學校。																									
11661	學理	學理	第7級	ha̍k-lí					【名】學術上的原理法則。例：每一門科學攏有相關的學理。Mui tsi̍t mn̂g kho-ha̍k lóng ū siong-kuan ê ha̍k-lí. (每一門科學都有相關的學理。)　																									
11662	學習	學習	第2級	ha̍k-si̍p					【動】經由理解與練習以吸收知識。例：學習數學　ha̍k-si̍p sòo-ha̍k。																									
11663	學術	學術	第5級	ha̍k-su̍t					【名】關於有系統而專門的學問之道。例：學術研究　ha̍k-su̍t gián-kiù。																									
11664	學期	學期	第3級	ha̍k-kî					【名】學校把一學年分為上下兩期，稱為「學期」。由本年八月秋季開學到次年一月寒假是第一學期，次年二月春季開學到七月暑假是第二學期。																									
11665	學費	學費	第4級	ha̍k-huì					【名】在學校或補習班學習知識技藝所繳納的費用。例：入學的時陣著愛繳學費。Ji̍p-o̍h ê sî-tsūn tio̍h-ài kiáu ha̍k-huì. (入學的時候必須繳納學費。)　																									
11666	學業	學業	第5級	ha̍k-gia̍p					【名】在學校修習的課業。例：學業進步　ha̍k-gia̍p tsìn-pōo。																									
11671	憑	憑	第5級	【白】pîn		【文】pîng			1.【名】證書、執照。例：文憑　bûn-pîn、憑證　pîn tsìng。	2.【介】依靠、根據。例：憑良心　pîn liông-sim。	3.【名】依據。例：喙講無憑　tshuì kóng bô pîn(口說無憑)。																							
11673	懍	膽	第5級	lún			膽		【動】懼怕。例：伊無咧懍啥人的啦！I bô teh lún siánn-lâng--ê--lah! (他誰都不怕！)　																									
11674	戰	戰	第6級	tsiàn					1.【動】打仗。例：戰輸　tsiàn-su(打敗仗)、戰贏　tsiàn-iânn(打勝仗)。	2.【動】用來指賭輸贏。例：等咧我閣欲繼續戰。Tán--leh guá koh beh kè-sio̍k tsiàn. (等一下我還要繼續賭個輸贏。)　																								
11675	撼	砸	第6級	【替】hám					【動】用重物猛擊或砸。例：攑槌仔共伊撼落去。Gia̍h thuî-á kā i hám--lo̍h-khì. (拿槌子敲下去。)　																									
11677	擇	選	第3級	ti̍k			揀		【動】揀選。例：選擇　suán-ti̍k。																									
11678	擉	彈	第4*級	【替】tia̍k					1.【動】彈指。例：擉算盤　tia̍k sǹg-puânn(打算盤)、擉耳仔　tia̍k hīnn-á(彈耳朵)。	2.【動】彈射。例：袂當用樹奶共人擉。Bē-tàng īng tshiū-ling kā lâng tia̍k. (不可以用橡皮筋射別人。)　																								
11679	擋	擋	第5級	【替】tòng					1.【動】攔阻。例：你莫擋佇門跤口。Lí mài tòng tī mn̂g-kha-kháu. (你別擋在門口。)；你緊共伊擋咧！Lí kín kā i tòng--leh! (你快攔住他！)　	2.【動】忍、撐。例：寒甲擋袂牢。Kuânn kah tòng bē tiâu. (冷得受不了。)　	3.【名】使車子停止行進的機件。例：車擋　tshia-tòng(剎車)、跤擋　kha-tòng(腳剎車)、手擋　tshiú-tòng(手剎車)。																							
11680	操	操	第6級	【白】tshau		【文】tsho、tshò			1.【動】練。例：操兵　tshau ping(練兵)、操曲　tshau khik(練歌)。	2.【動】捲起、撩起。例：共蠓罩操起來。Kā báng-tà tshau--khí-lâi. (把蚊罩撩起來。)　	3.【形】指很操勞。例：逐暗攏愛加班，實在真操。Ta̍k àm lóng ài ka-pan, si̍t-tsāi tsin tshau. (每晚都要加班，實在很操勞。)　																							
11681	操	操	第6級	【文】tsho		【白】tshau、tshò			1.【動】駕馭。例：操舟　tsho tsiu。	2.【動】使用、手持。例：操刀　tsho to(執刀。比喻執掌、管轄。)　	3.【名】品行。例：貞操　tsing-tsho、情操　tsîng-tsho。																							
11682	擒	擒	第7級	khîm					【動】捕捉。例：擒賊先擒王　khîm tsha̍t sing khîm ông(捉賊先捉首領)。																									
11685	擔	攤販	第4*級	【白】tànn	担	【文】tam、【白】tann			1.【名】攤販。例：菜擔　tshài tànn(菜攤)、水果擔　tsuí-kó tànn(水果攤)、佇路邊排擔。　Tī lōo-pinn pâi-tànn. (在路邊擺攤。)　	2.【量】計算成挑物品的單位。例：一擔水　tsi̍t tànn tsuí。	3.【名】擔子。例：擔擔　tann tànn(挑擔子)。	4.【量】計算重量的單位。一百斤為一擔。																						
11688	整	整	第3*級	tsíng					1.【動】招募、籌措。例：整本　tsíng pún(籌錢)、整戲班　tsíng hì-pan(籌設戲班)。	2.【動】購置。例：整家伙　tsíng ke-hué(置產)。	3.【形】完全的、全部的。例：完整　uân-tsíng、整個　tsíng-kò。	4.【動】治理、安放。例：調整　tiâu-tsíng、整理　tsíng-lí。																						
11690	操心	擔心	第3*級	tshau-sim			掛心、掛慮、煩惱		【動】勞神、勞費心力。例：做人的囝兒毋通予爸母操心。Tsò lâng ê kiánn-jî m̄-thang hōo pē-bú tshau-sim. (做人子女不要讓父母操心。)　																									
11692	擛手	招手	第4*級	ia̍t-tshiú					【動】招手、揮手。例：伊徛對面共我擛手。I khiā tuì-bīn kā guá ia̍t-tshiú. (他站對面對我招手。)　																									
11694	擔任	擔任	第5級	tam-jīm/tam-līm					【動】擔負起某種職務或任務。例：伊擔任公司高級的主管。I tam-jīm kong-si ko-kip ê tsú-kuán. (他擔任公司高級的主管。)　																									
11697	操作	操作	第5級	tshau-tsok					【動】照一定的步驟、程序來進行工作或使用機器。例：操作機器　tshau-tsok ki-khì。																									
11700	憲法	憲法	第6級	hiàn-huat					【名】規定國家體制、政府組織及人民權利義務的基本大法。例：修改憲法　siu-kái hiàn-huat。																									
11701	戰爭	戰爭	第4級	tsiàn-tsing					【名】敵我雙方用武器來決勝負的行為。例：戰爭會破害辛苦建設的成果。Tsiàn-tsing ē phò-hāi sin-khóo kiàn-siat ê sîng-kó. (戰爭會破壞辛苦建設的成果。)　																									
11703	擔保	擔保	第7級	tam-pó			保證		【動】承擔保證。例：這件代誌我會當共你擔保。Tsit kiānn tāi-tsì guá ē-tàng kā lí tam-pó. (這件事情我可以替你擔保。)　																									
11704	擋咧	停止	第4級	tòng--leh					【動】站住、阻止。例：你共我擋咧。Lí kā guá tòng--leh. (你給我站住。)；你緊共擋咧。Lí kín kā tòng--leh. (你趕快阻止他。)　																									
11707	戰鬥	戰鬥	第6級	tsiàn-tàu					【動】以武力互相爭鬥。例：戰鬥力　tsiàn-tàu li̍k、戰鬥機　tsiàn-tàu-ki。																									
11708	整理	整理	第4級	tsíng-lí			收拾、款		【動】收拾。使事物有條理秩序。																									
11710	戰術	戰術	第5級	tsiàn-su̍t					【名】進行作戰或比賽的原則或方法。例：這馬的野球攏真注重戰術。Tsit-má ê iá-kiû lóng tsin tsù-tiōng tsiàn-su̍t. (現在的棒球比賽都很注重戰術。)　																									
11711	操勞	操勞	第7級	tshau-lô					【動】辛苦地勞動或費心處理。例：為著生活，規工操勞。Uī-tio̍h sing-ua̍h, kui kang tshau-lô. (為了生活，整天辛苦的作事。)　																									
11713	戰場	戰場	第5級	tsiàn-tiûnn					【名】戰地。兩軍交戰的地方。																									
11714	懊惱	懊惱	第6級	àu-náu					【動】心中鬱悶悔恨。例：你毋免為著小可代誌佇遮懊惱。Lí m̄-bián uī-tio̍h sió-khuá tāi-tsì tī tsia àu-náu. (你不必為了小小的事情而在這裡懊悔不已。)　																									
11715	戰亂	戰亂	第7級	tsiàn-luān					【名】因戰爭引起的混亂狀態。																									
11716	憑準	證據	第4*級	pîn-tsún			憑據		【名】確實而且可靠的憑據。例：空喙哺舌無路用，白紙烏字才有憑準。Khang-tshuì-pōo-tsi̍h bô-lōo-īng, pe̍h-tsuá-oo-jī tsiah ū pîn-tsún. (空口說白話沒有用，立下字據來，才有個準。)　																									
11717	操煩	擔心	第3*級	tshau-huân					【動】操心煩惱。例：你免操煩囡仔的代誌，家己有拍算啦！Lí bián tshau-huân gín-á ê tāi-tsì, in ka-kī ū phah-sǹg--lah! (你不必擔心煩惱孩子們的事情，他們自己有規劃啦！)　																									
11718	擔當	擔當	第6級	tam-tng					【名】擔負責任的氣慨。例：做一个查埔囝愛有擔當。Tsò tsi̍t ê tsa-poo-kiánn ài ū tam-tng. (身為一個男子漢，要有擔當。)　																									
11719	整頓	整頓	第6級	tsíng-tùn					【動】把散亂或不健全的事物治理得有條不紊。例：這間公司的財務需要整頓一下。Tsit king kong-si ê tsâi-bū su-iàu tsíng-tùn--tsi̍t-ē. 　																									
11724	整齊	整齊	第5級	tsíng-tsê					【形】有次序、有條理。例：物件囥甲真整齊。Mi̍h-kiānn khǹg kah tsin tsíng-tsê. (東西放得很有條理。)　																									
11725	擔憂	擔憂	第5級	tam-iu					【動】擔心、憂慮。例：代誌做袂完，我實在真擔憂。Tāi-tsì tsò bē uân, guá si̍t-tsāi tsin tam-iu. (事情做不完，我實在很擔憂。)　																									
11727	憑據	證據	第4*級	pîn-kì/pîn-kù			憑準		【名】可以依憑的證據。例：你有啥物憑據講這種話？Lí ū siánn-mih pîn-kì kóng tsit tsióng uē? (你有什麼憑據說這種話？)　																									
11730	擔頭	擔當	第6級	tànn-thâu			負擔		【名】擔子，引申為所肩負的責任。例：想著厝內囡仔的註冊錢，就感覺擔頭真重。Siūnn-tio̍h tshù-lāi gín-á ê tsù-tsheh tsînn, tō kám-kak tànn-thâu tsin tāng. (想到家中小孩的註冊費，就深感責任沉重。)　																									
11731	擁護	擁護	第6級	ióng-hōo					【動】支持、愛護。																									
11732	樹	樹木	第4級	【白】tshiū		【文】sū	樹木、樹仔		【名】樹木的總稱。例：菩提樹　phôo-thê-tshiū、娘仔樹　niû-á-tshiū(桑樹)。																									
11733	橋	橋	第4級	【白】kiô		【文】kiâu			【名】架在河面上或交通要道處，便利交通的結構物。例：吊橋　tiàu-kiô、天橋　thian-kiô(陸橋)、兜佇過橋彼爿。　In tau tī kuè kiô hit pîng. (他家在過橋那邊。)　																									
11734	橐	裝	第3級	【替】lok	簏	【替】lop、【替】lak			1.【動】將某物裝入某袋類之中。例：物件攏橐入去紙橐仔內面。Mi̍h-kiānn lóng lok ji̍p-khì tsuá-lok-á lāi-bīn. (東西都裝到紙袋裡面。)　[近]袋	2.【名】袋子。例：紙橐　tsuá-lok(紙袋)、手橐　tshiú-lok(手套)。[近]橐仔																								
11735	橐	套	第3級	【替】lop		【替】lok、【替】lak			【動】套某物在頭上。例：創麻橐仔咧予人橐。Tshòng muâ-lop-á teh hōo lâng lop. (做一頂麻喪帽讓人戴，引申為製造麻煩讓他人承擔。)　																									
11736	橛	截	第6級	kue̍h					【量】用來計算橫截後物品的段數。例：一橛甘蔗　tsi̍t kue̍h kam-tsià(一截甘蔗)、一尾魚仔切做兩橛。　Tsi̍t bué hî-á tshiat tsò nn̄g kue̍h. (一條魚切成兩段。)　																									
11738	曆日	日曆	第7級	la̍h-ji̍t/la̍h-li̍t			日誌		1.【名】日曆。記載年、月、日、星期和節氣、紀念日等的印刷品，一年一本，一日一頁。	2.【名】黃曆。記載時日節氣吉凶的曆書。														日曆	日誌　li̍t-tsì, 曆日　la̍h-li̍t	日誌　ji̍t-tsì	日誌　li̍t-tsì, 曆日　la̍h-li̍t	日誌　ji̍t-tsì, 曆日　lā-ji̍t	日書　ji̍t-su, 日誌　ji̍t-tsì, 曆日　la̍h-ji̍t	日書　ji̍t-su, 日誌　ji̍t-tsì, 曆日　la̍h-ji̍t	曆日　la̍h-li̍t	曆日　la̍h-ji̍t	曆日　la̍h-li̍t, 日誌　li̍t-tsì	曆日　la̍h-ji̍t, 日拆　ji̍t-thiah
11739	樹木	樹木	第4級	tshiū-ba̍k			樹、樹仔		【名】木本植物的通稱。																									
11740	樹仔	樹木	第4級	tshiū-á			樹、樹木、樹欉		【名】樹、樹木。木本植物的總稱。																									
11741	橐仔	袋子	第2*級	lok-á	簏仔		袋仔、橐		【名】袋子。可以盛裝東西的扁形物品。例：紙橐仔　tsuá-lok-á(紙袋子)。																									
11744	樹尾	樹梢	第7級	tshiū-bué/tshiū-bé				樹頭	【名】樹梢。例：樹尾無風袂搖。Tshiū-bué bô hong bē iô. (樹梢沒風不會動。比喻事出必有因。)　																									
11746	樹身	樹幹	第6級	tshiū-sin					【名】樹幹。例：櫻花的樹身真金滑。Ing-hue ê tshiū-sin tsin kim-ku̍t. (櫻花的樹幹很光滑。)　																									
11747	樹林	樹林	第5級	tshiū-nâ					【名】成片聚集生長的樹木。例：樹林仔內蠓蟲真濟。Tshiū-nâ-á-lāi báng-thâng tsin tsē. (樹林裡蚊蟲真多。)　																									
11748	樹枝	樹枝	第5級	tshiū-ki			樹椏、樹錦		【名】樹椏。從樹幹旁生出的枝條。例：修剪樹枝　siu-tsián tshiū-ki。															樹枝	樹枝　tshiǔ-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki	樹枝　tshiū-ki
11751	機密	機密	第6級	ki-bi̍t					【名】重要而秘密的事。例：國家機密　kok ka ki-bi̍t、機密文件　ki-bi̍t bûn-kiānn。																									
11752	機械	機器	第4級	ki-hāi			機器		【名】機器。泛指各種機器、器械。																									
11753	橐袋仔	口袋	第3級	lak-tē-á	簏袋仔				【名】口袋。衣褲上面的口袋。															口袋	通懷仔　thong-kuî-á	橐袋仔　lak-tēr-á	橐袋仔　lak-tē-á	橐袋仔　lak-tē-á	橐袋仔　lak-tē-á	橐袋仔　lak-tē-á	袋仔　tēr-á, 橐仔　lak-á	橐袋仔　lak-tē-á, 橐仔　lak-á, 懷　kuî	袋仔　tēr-á; tē-á	橐袋仔　lak-tē-á
11755	機場	機場	第2*級	ki-tiûnn			飛行場、飛行機埕		【名】專供飛機起降、停放及乘客上下的場所。																									
11756	樹椏	樹枝	第5級	tshiū-ue			樹枝		【名】樹杈。樹木末端的小樹枝。例：樹椏取來做柴燃。Tshiū-ue tshú-lâi tsò tshâ hiânn. (樹杈拿來當柴燒。)　																									
11757	樹絡	樹枝	第5級	tshiū-le					【名】樹枝。																									
11758	機會	機會	第2級	ki-huē			時機		【名】可以利用的時機。例：無機會通見面。Bô ki-huē thang kìnn-bīn. (沒機會見面。)　																									
11761	樹蔭	樹蔭	第6級	tshiū-ńg					【名】樹下日光照不到的地方。例：有樹蔭通歇涼。Ū tshiū-ńg thang hioh-liâng. (有樹蔭可以遮陽歇息。)　															樹蔭	樹蔭　tshiǔ-ńg	樹蔭　tshiū-ńg	樹蔭　tshiū-ńg	樹影　tshiū-iánn, 樹蔭　tshiū-ńg	樹影　tshiū-iánn, 樹蔭　tshiū-ńg	樹蔭　tshiū-ńg	樹蔭　tshiū-ńg	樹蔭　tshiū-ńg	樹蔭　tshiū-ńg, 樹影　tshiū-iánn	樹蔭　tshiū-ńg 
11762	機器	機器	第4級	ki-khì			機械		【名】機械器具。由多種零件組成，可供操控以節省人力，並使工作更有效率的裝置。																									
11767	機關	機關	第6級	ki-kuan					1.【名】控制機械的主要部分。	2.【名】有組織的團體。多指辦理事務的機構。																								
11768	機關銃	機關槍	第7級	ki-kuan-tshìng					【名】機關槍、連珠砲。利用機械裝置而可以連續射發子彈的槍。引申為人說話快速、連續不停。例：伊彼支喙佮機關銃仝款，講袂煞。I hit ki tshuì kah ki-kuan-tshìng kāng-khuán, kóng bē suah. (他那張嘴和機關槍一樣，說個不停。)　																									
11771	歕	吹	第4級	pûn	噴				1.【動】吹。例：歕風　pûn-hong(吹氣)。	2.【動】吹牛、散布。例：伊真𠢕歕。I tsin gâu pûn. (他很會吹牛。)　																								
11774	濁	濁	第7級	【替】lô	醪	【白】ta̍k、【文】to̍k		清	【形】骯髒、不清潔。例：水真濁。Tsuí tsin lô. (水很混濁。)；濁滓　lô tái(汙濁的沉澱物)。																									
11775	激力	使勁	第6級	kik-la̍t					【動】使力、使勁。憋氣而使盡力氣。例：伊激力激甲規个面紅記記。I kik-la̍t kik kah kui-ê bīn âng-kì-kì. (他使力使得整個臉紅咚咚的。)　																									
11777	激心	煩惱	第4級	kik-sim					1.【動】煩惱。例：予老母為著這件代誌佇遐激心煩惱，實在是太不應該。Hōo lāu-bú uī-tio̍h tsit kiānn tāi-tsì tī hia kik-sim huân-ló, si̍t-tsāi sī thài put ing-kai. (讓母親為了這件事情煩惱，實在很不應該。)　	2.【動】氣憤、惱怒。																								
11779	歷史	歷史	第3級	li̍k-sú					【名】過去所有事情皆為歷史，但一般多指重大的或具有影響力的事蹟。																									
11789	激氣	賭氣	第7級	kik-khì					【動】嘔氣、賭氣。雙方面彼此因意見不合而鬧彆扭、懷恨在心，採取不合作的態度或故意為難對方。例：恁毋通激氣，有話好好仔講。Lín m̄-thang kik-khì, ū uē hó-hó-á kóng. (你們不要賭氣鬧彆扭，有話好好說。)　																									
11791	激烈	激烈	第4級	kik-lia̍t					【形】劇烈、強烈。例：這場比賽真激烈。Tsit tiûnn pí-sài tsin kik-lia̍t. (這場比賽很激烈。)　																									
11802	橫霸霸	蠻橫	第7級	huâinn-pà-pà/huînn-pà-pà					【形】指一個人霸道蠻橫不講理。例：彼个人橫霸霸，你毋通去惹伊。Hit-ê lâng huâinn-pà-pà, lí m̄-thang khì jiá--i. (那個人霸道蠻橫不講理，你不要去惹他。)　																									
11803	燃	燒	第4級	【白】hiânn	烆	【文】jiân/liân			【動】點燃、焚燒。例：燃火　hiânn-hué(燒火煮食物)、燃柴　hiânn-tshâ(燒柴)、燃滾水　hiânn kún-tsuí(燒開水)。																									
11804	燈	燈	第2*級	ting					【名】照明或作為他用的發光器具。例：日光燈　ji̍t-kong-ting、路燈　lōo-ting。																									
11805	燉	燉	第6級	tūn			燖		【動】將食物加水，用文火慢煮使爛熟。例：燉肉　tūn bah、燉補　tūn-póo。																									
11806	燒	燒	第4級	sio					1.【動】使東西著火。例：燒香　sio-hiunn、燒紙　sio tsuá。	2.【形】溫暖。例：眠床睏甲真燒。Bîn-tshn̂g khùn kah tsin sio. (床被睡得很溫暖。)　[反]冷、涼	3.【形】溫度高。例：水無夠燒。Tsuí bô-kàu sio. (水不夠熱。)；趁燒食　thàn-sio tsia̍h(趁熱吃)。[反]冰、冷	4.【動】中傷、挑撥離間。例：燒歹話　sio pháinn-uē(挑撥離間)。																						
11808	燖	燉	第6級	【替】tīm			煨		【動】將食物放入密閉的烹具裡蒸煮。例：燖補　tīm póo(燉煮補品)、燖雞　tīm-ke(燉煮雞料理)、燖鍋　tīm-ue(燉鍋)。																									
11809	燙	燙	第4級	thǹg					1.【動】一種烹調方法。將材料在滾水中快煮後撈出。例：燙青菜　thǹg tshenn-tshài。	2.【動】被高熱的東西或火所傷。例：伊去予滾水燙著。I khì hōo kún-tsuí thǹg--tio̍h. (他被熱水燙到。)　																								
11816	燈火	燈光	第5級	ting-hué/ting-hé					1.【名】燈光。	2.【名】指油燈。														油燈	油寄　iû-khia̍h, 油燈　iû-ting	油寄仔　iû-kia̍h-á, 油寄仔火　iû-kia̍h-á-hér	油寄仔火　iû-kia̍h-á-hé, 磺火　hông-hé	油寄仔　iû-khiā-á, 磺火　hông-hué	燈火　ting-hué	燈火　ting-hué	油燈仔　iû-ting--á	燈仔火　ting-á-hé	油攑仔　iû-kia̍h-á	手攑仔火　tshiú-kia̍h-á-hué
11819	獨立	獨立	第4級	to̍k-li̍p					【形】不倚靠他人的協助而能夠自立。例：這个囡仔真獨立。Tsit ê gín-á tsin to̍k-li̍p. (這個孩子很能自立。)　																									
11821	獨身	獨身	第7級	to̍k-sin			單身、羅漢跤		【形】單身。還沒結婚的人。例：同事大部份攏結婚矣，獨身的無幾个。In tông-sū tuā-pōo-hūn lóng kiat-hun--ah, to̍k-sin--ê bô kuí ê. (他們同事大多結婚了，單身的沒幾個。)　																									
11823	燒香	燒香	第5級	sio-hiunn					【動】燃香禮拜神佛。是佛教、道教以及民間傳統信仰的祭祀禮儀。例：初一十五愛燒香拜拜。Tshe-it tsa̍p-gōo ài sio-hiunn pài-pài. (初一十五要燒香拜拜。)　																									
11826	燒烙	溫暖	第4級	sio-lō	燒暖		燒熱		【形】溫暖、暖和。例：今仔日較燒烙。Kin-á-ji̍t khah sio-lō. (今天比較暖和。)　																									
11832	獨裁	獨裁	第6級	to̍k-tshâi					1.【形】凡事由一人作決定，其他人無法反對。例：這个人真獨裁。Tsit ê lâng tsin to̍k-tshâi. (這個人很獨裁。)　	2.【名】政體的一種。政治上的決定，取決於一人或極少數人的專制統治。																								
11835	燒滾滾	熱騰騰	第7級	sio-kún-kún				冷吱吱	【形】熱騰騰。例：湯拄𣁳起來爾爾，猶燒滾滾，毋好燙著。Thng tú khat--khí-lâi niā-niā, iáu sio-kún-kún, m̄-hó thǹg--tio̍h. (湯才剛舀起來，還熱騰騰的，不要燙到了。)　																									
11837	燒熱	溫暖	第4級	sio-jua̍h/sio-lua̍h					1.【形】溫暖。	2.【形】極為炎熱的。例：天氣燒熱　thinn-khì sio-jua̍h(天氣很熱)。	3.【形】指發燒。例：頭額燒熱　thâu-hia̍h sio-jua̍h(發燒)。	4.【形】因嫉妒或焦急而使得心裡有不舒服的感覺。例：伊筊跋輸愈濟，心內就愈燒熱。I kiáu pua̍h su jú tsē, sim-lāi tō jú sio-jua̍h. (他賭博輸越多，內心越急。)　	5.【形】因高溫灼燒、鞭打或傷口發炎時所產生的灼熱感。例：發炎的空喙感覺會燒熱。Huat-iām ê khang-tshuì kám-kak ē sio-jua̍h. (發炎的傷口感覺灼熱。)　																					
11841	瞞	騙	第4級	muâ					【動】騙。例：隱瞞　ún-muâ、欺瞞　khi-muâ。																									
11842	磚	磚頭	第7級	【白】tsng		【文】tsuan	磚仔		【名】以土經過窯燒而製成的建築材料。也指形狀相似的東西。例：地磚　tē-tsng、紅磚仔　âng tsng-á(紅磚)。															磚	tsng	tsng	tsng	tsuinn	tsng	tsng	tsng	tsng	tsng	tsng
11843	磨	磨	第5級	【文】bō		【白】buâ、【文】môo			1.【名】石磨。例：石磨仔　tsio̍h-bō-á(石磨)。	2.【動】用石磨磨物。例：磨粿　bō-kué。[近]挨														磨(～仔)	bō	bō	bō	bō	bōr	bōr	bō	bō	bō	bō
11844	磨	磨	第5級	【白】buâ		【文】bō、【文】môo			1.【動】用磨石等磨東西使其鋒利、光滑。例：磨刀　buâ-to。	2.【動】研磨。例：共藥丸磨做藥粉。Kā io̍h-uân buâ tsò io̍h-hún. (把藥丸研磨成藥粉。)　	3.【動】操勞、磨練。例：做牛著拖，做人著磨。Tsò gû tio̍h thua, tsò lâng tio̍h buâ. (當牛就得拖犁，做人就得操勞。)　	4.【動】加水磨擦使溶出。例：磨墨　buâ-ba̍k。																						
11849	磚仔	磚頭	第7級	tsng-á			磚		【名】磚頭、磚塊。用黏土燒成的長方體塊狀建材。例：疊磚仔起厝。Thia̍p tsng-á khí-tshù. (疊磚蓋房子。)　															磚	磚仔　tsng-á	磚仔角　tsng-á-kak	磚仔　tsng-á	磚仔　tsuinn-á	磚仔　tsng-á	磚仔　tsng-á	磚　tsng	磚　tsng	磚仔　tsng-á	磚仔　tsng-á
11861	糖	糖	第2*級	thn̂g					1.【名】糖類。例：白糖　pe̍h-thn̂g、角糖　kak-thn̂g(方糖)。	2.【名】泛指用糖製成的東西。例：冬瓜糖　tang-kue-thn̂g、塗豆糖　thôo-tāu-thn̂g(花生糖)。																								
11863	縖	繫	第5級	【替】hâ					【動】繫上、圍上。例：縖褲帶　hâ khòo-tuà(繫褲腰帶)。																									
